CHILD;PARENT
LP286557-6;LP14313-8
26488-7;LP393103-9
LP393103-9;LP286557-6
33362-5;LP393104-7
LP393104-7;LP286557-6
17835-0;LP393105-4
LP393105-4;LP286557-6
777-3;LP393218-5
LP393218-5;LP14597-6
LP14597-6;LP15094-3
778-1;LP393218-5
708-8;LP393263-1
LP393263-1;LP15100-8
LP15100-8;LP19481-8
33372-4;LP393284-7
LP393284-7;LP285151-9
LP285151-9;LP15100-8
33373-2;LP393285-4
LP393285-4;LP285151-9
52816-6;LP393296-1
LP393296-1;LP65367-2
LP65367-2;LP19481-8
788-0;LP393348-0
LP393348-0;LP17698-9
LP17698-9;LP31669-2
LP31669-2;LP30866-5
LP30866-5;LP30786-5
785-6;LP393353-0
LP393353-0;LP17689-8
LP17689-8;LP31669-2
786-4;LP393357-1
LP393357-1;LP17695-5
LP17695-5;LP31669-2
787-2;LP393361-3
LP393361-3;LP15191-7
LP15191-7;LP31669-2
5909-7;LP393370-4
LP393370-4;LP16873-9
LP16873-9;LP30786-5
703-9;LP393384-5
LP393384-5;LP17278-0
LP17278-0;LP64195-8
LP64195-8;LP16873-9
7793-3;LP393392-8
LP393392-8;LP17679-9
LP17679-9;LP64195-8
7795-8;LP393393-6
LP393393-6;LP17682-3
LP17682-3;LP64195-8
7789-1;LP393397-7
LP393397-7;LP17674-0
LP17674-0;LP19268-9
LP19268-9;LP16873-9
702-1;LP393399-3
LP393399-3;LP17274-9
LP17274-9;LP19268-9
10371-3;LP393400-9
LP393400-9;LP14567-9
LP14567-9;LP19268-9
7790-9;LP393403-3
LP393403-3;LP17676-5
LP17676-5;LP19268-9
7791-7;LP393406-6
LP393406-6;LP17677-3
LP17677-3;LP19268-9
774-0;LP393409-0
LP393409-0;LP17644-3
LP17644-3;LP15192-5
LP15192-5;LP19268-9
10373-9;LP393412-4
LP393412-4;LP14569-5
LP14569-5;LP19268-9
10377-0;LP393415-7
LP393415-7;LP14573-7
LP14573-7;LP19268-9
779-9;LP393417-3
LP393417-3;LP30906-9
LP30906-9;LP19268-9
800-3;LP393421-5
LP393421-5;LP17715-1
LP17715-1;LP19268-9
801-1;LP393424-9
LP393424-9;LP17228-5
LP17228-5;LP19268-9
802-9;LP393427-2
LP393427-2;LP17717-7
LP17717-7;LP19268-9
10381-2;LP393431-4
LP393431-4;LP14577-8
LP14577-8;LP19268-9
10376-2;LP393435-5
LP393435-5;LP14572-9
LP14572-9;LP17441-4
LP17441-4;LP19269-7
LP19269-7;LP16873-9
738-5;LP393434-8
LP393434-8;LP17441-4
741-9;LP393436-3
LP393436-3;LP17463-8
LP17463-8;LP19269-7
728-6;LP393445-4
LP393445-4;LP17388-7
LP17388-7;LP183519-0
LP183519-0;LP30927-5
LP30927-5;LP16873-9
10378-8;LP393447-0
LP393447-0;LP14574-5
LP14574-5;LP183519-0
10346-5;LP393561-8
LP393561-8;LP14554-7
LP14554-7;LP31617-1
LP31617-1;LP30786-5
4552-6;LP393568-3
LP393568-3;LP286153-4
LP286153-4;LP14451-6
LP14451-6;LP14554-7
9749-3;LP393573-3
LP393573-3;LP16428-2
LP16428-2;LP31617-1
4561-7;LP393606-1
LP393606-1;LP286161-7
LP286161-7;LP16420-9
LP16420-9;LP31618-9
LP31618-9;LP30786-5
4622-7;LP393656-6
LP393656-6;LP16455-5
LP16455-5;LP31618-9
4542-7;LP393679-8
LP393679-8;LP16411-8
LP16411-8;LP30925-9
LP30925-9;LP30786-5
4659-9;LP393833-1
LP393833-1;LP16478-7
LP16478-7;LP30865-7
LP30865-7;LP7803-2
3173-2;LP393943-8
LP393943-8;LP15957-1
LP15957-1;LP31624-7
LP31624-7;LP7788-5
LP7788-5;LP29693-6
48065-7;LP394015-4
LP394015-4;LP62099-4
LP62099-4;LP15987-8
LP15987-8;LP21409-5
LP21409-5;LP31624-7
3255-7;LP394019-6
LP394019-6;LP14704-8
LP14704-8;LP31624-7
50008-2;LP394039-4
LP394039-4;LP65093-4
LP65093-4;LP31624-7
5902-2;LP394044-4
LP394044-4;LP16870-5
LP16870-5;LP31624-7
6301-6;LP394061-8
LP394061-8;LP17102-2
LP17102-2;LP16870-5
3193-0;LP394164-0
LP394164-0;LP174022-6
LP174022-6;LP15964-7
LP15964-7;LP31623-9
LP31623-9;LP7788-5
3198-9;LP394171-5
LP394171-5;LP174023-4
LP174023-4;LP15966-2
LP15966-2;LP31623-9
3209-4;LP394182-2
LP394182-2;LP174024-2
LP174024-2;LP14702-2
LP14702-2;LP31623-9
3188-0;LP394189-7
LP394189-7;LP32955-4
LP32955-4;LP15961-3
LP15961-3;LP31623-9
3218-5;LP394196-2
LP394196-2;LP174025-9
LP174025-9;LP15973-8
LP15973-8;LP31623-9
3226-8;LP394206-9
LP394206-9;LP228102-2
LP228102-2;LP32960-4
LP32960-4;LP15977-9
LP15977-9;LP31623-9
3232-6;LP394212-7
LP394212-7;LP228104-8
LP228104-8;LP32961-2
LP32961-2;LP15979-5
LP15979-5;LP31623-9
3240-9;LP394219-2
LP394219-2;LP15982-9
LP15982-9;LP14703-0
LP14703-0;LP31623-9
6012-9;LP394233-3
LP394233-3;LP40156-9
LP40156-9;LP16906-7
LP16906-7;LP31623-9
6014-5;LP394247-3
LP394247-3;LP174102-6
LP174102-6;LP16908-3
LP16908-3;LP16329-2
LP16329-2;LP16906-7
24377-4;LP394271-3
LP394271-3;LP16892-9
LP16892-9;LP29282-8
LP29282-8;LP31621-3
LP31621-3;LP7788-5
24381-6;LP394277-0
LP394277-0;LP16893-7
LP16893-7;LP29282-8
24379-0;LP394283-8
LP394283-8;LP16895-2
LP16895-2;LP29282-8
24378-2;LP394288-7
LP394288-7;LP16896-0
LP16896-0;LP29282-8
24380-8;LP394294-5
LP394294-5;LP16898-6
LP16898-6;LP29282-8
3289-6;LP394419-8
LP394419-8;LP229409-0
LP229409-0;LP16011-6
LP16011-6;LP16010-8
LP16010-8;LP7788-5
5942-8;LP394428-9
LP394428-9;LP394429-7
LP394429-7;LP16880-4
LP16880-4;LP7788-5
8122-4;LP399355-9
LP399355-9;LP14442-5
LP14442-5;LP32944-8
LP32944-8;LP7783-6
LP7783-6;LP29693-6
8124-0;LP399367-4
LP399367-4;LP285415-8
LP285415-8;LP14442-5
9559-6;LP399389-8
LP399389-8;LP17735-9
LP17735-9;LP32944-8
8132-3;LP399394-8
LP399394-8;LP285547-8
LP285547-8;LP17735-9
8115-8;LP399530-7
LP399530-7;LP285324-2
LP285324-2;LP17745-8
LP17745-8;LP32944-8
17828-5;LP399531-5
LP399531-5;LP285324-2
26560-3;LP399532-3
LP399532-3;LP285324-2
8116-6;LP399545-5
LP399545-5;LP17749-0
LP17749-0;LP32944-8
8117-4;LP399558-8
LP399558-8;LP285334-1
LP285334-1;LP17749-0
9558-8;LP399566-1
LP399566-1;LP17751-6
LP17751-6;LP32944-8
8119-0;LP399574-5
LP399574-5;LP285360-6
LP285360-6;LP17751-6
57418-6;LP399575-2
LP399575-2;LP285360-6
20595-5;LP399576-0
LP399576-0;LP285360-6
14017-8;LP399593-5
LP399593-5;LP285371-3
LP285371-3;LP18515-4
LP18515-4;LP32944-8
42875-5;LP399594-3
LP399594-3;LP285371-3
20596-3;LP399595-0
LP399595-0;LP285371-3
8121-6;LP399621-4
LP399621-4;LP285380-4
LP285380-4;LP17753-2
LP17753-2;LP32944-8
51271-5;LP399622-2
LP399622-2;LP285380-4
32493-9;LP399623-0
LP399623-0;LP285380-4
60346-4;LP399679-2
LP399679-2;LP287370-3
LP287370-3;LP101258-4
LP101258-4;LP17754-0
LP17754-0;LP32944-8
8125-7;LP399682-6
LP399682-6;LP285463-8
LP285463-8;LP17754-0
57400-4;LP399684-2
LP399684-2;LP285463-8
8126-5;LP399707-1
LP399707-1;LP285469-5
LP285469-5;LP17755-7
LP17755-7;LP32944-8
51299-6;LP399708-9
LP399708-9;LP285469-5
51298-8;LP399709-7
LP399709-7;LP285469-5
17175-1;LP399804-6
LP399804-6;LP285562-7
LP285562-7;LP19080-8
LP19080-8;LP32944-8
51344-0;LP399806-1
LP399806-1;LP285562-7
8133-1;LP399815-2
LP399815-2;LP285563-5
LP285563-5;LP14521-6
LP14521-6;LP32944-8
57424-4;LP399816-0
LP399816-0;LP285563-5
21166-4;LP399817-8
LP399817-8;LP285563-5
8134-9;LP399821-0
LP399821-0;LP285568-4
LP285568-4;LP17760-7
LP17760-7;LP32944-8
51351-5;LP399822-8
LP399822-8;LP285568-4
32497-0;LP399823-6
LP399823-6;LP285568-4
43938-0;LP399835-0
LP399835-0;LP285571-8
LP285571-8;LP19082-4
LP19082-4;LP32944-8
51358-0;LP399836-8
LP399836-8;LP285571-8
33663-6;LP399845-9
LP399845-9;LP285570-0
LP285570-0;LP31590-0
LP31590-0;LP32944-8
8136-4;LP399885-5
LP399885-5;LP285592-4
LP285592-4;LP17762-3
LP17762-3;LP32944-8
57426-9;LP399886-3
LP399886-3;LP285592-4
21169-8;LP399887-1
LP399887-1;LP285592-4
17100-9;LP399931-7
LP399931-7;LP285274-9
LP285274-9;LP18999-0
LP18999-0;LP32944-8
42864-9;LP399932-5
LP399932-5;LP285274-9
51221-0;LP399933-3
LP399933-3;LP285274-9
42869-8;LP399999-4
LP399999-4;LP285311-9
LP285311-9;LP30757-6
LP30757-6;LP32944-8
42871-4;LP400000-8
LP400000-8;LP285311-9
42870-6;LP400001-6
LP400001-6;LP285311-9
8123-2;LP400179-0
LP400179-0;LP285423-2
LP285423-2;LP14441-7
LP14441-7;LP32772-3
LP32772-3;LP7783-6
24467-3;LP400174-1
LP400174-1;LP14441-7
54218-3;LP400186-5
LP400186-5;LP285424-0
LP285424-0;LP14441-7
18266-7;LP400187-3
LP400187-3;LP285424-0
8101-8;LP400217-8
LP400217-8;LP285440-6
LP285440-6;LP17728-4
LP17728-4;LP32772-3
14135-8;LP400212-9
LP400212-9;LP17728-4
18267-5;LP400509-8
LP400509-8;LP285325-9
LP285325-9;LP19274-7
LP19274-7;LP32772-3
20402-4;LP400507-2
LP400507-2;LP19274-7
17220-5;LP400746-6
LP400746-6;LP285663-3
LP285663-3;LP19520-3
LP19520-3;LP32943-0
LP32943-0;LP7783-6
57428-5;LP400747-4
LP400747-4;LP285663-3
21171-4;LP400748-2
LP400748-2;LP285663-3
52996-6;LP400812-6
LP400812-6;LP285716-9
LP285716-9;LP29173-9
LP29173-9;LP15880-5
LP15880-5;LP32943-0
5782-8;LP402379-4
LP402379-4;LP16849-9
LP16849-9;LP7851-1
LP7851-1;LP29693-6
5771-1;LP402384-4
LP402384-4;LP32872-1
LP32872-1;LP16849-9
5773-7;LP402387-7
LP402387-7;LP32873-9
LP32873-9;LP32788-9
LP32788-9;LP16849-9
5774-5;LP402389-3
LP402389-3;LP32874-7
LP32874-7;LP32788-9
5775-2;LP402392-7
LP402392-7;LP32875-4
LP32875-4;LP32788-9
5777-8;LP402396-8
LP402396-8;LP32876-2
LP32876-2;LP16849-9
5798-4;LP402406-5
LP402406-5;LP32879-6
LP32879-6;LP16849-9
5814-9;LP402415-6
LP402415-6;LP16860-6
LP16860-6;LP16849-9
5815-6;LP402417-2
LP402417-2;LP32884-6
LP32884-6;LP16849-9
5817-2;LP402420-6
LP402420-6;LP32885-3
LP32885-3;LP16849-9
9842-6;LP402425-5
LP402425-5;LP14044-9
LP14044-9;LP7851-1
5786-9;LP402433-9
LP402433-9;LP16851-5
LP16851-5;LP14044-9
5789-3;LP402435-4
LP402435-4;LP16853-1
LP16853-1;LP14044-9
5793-5;LP402437-0
LP402437-0;LP16856-4
LP16856-4;LP14044-9
5796-8;LP402442-0
LP402442-0;LP16857-2
LP16857-2;LP14044-9
53848-8;LP402445-3
LP402445-3;LP31779-9
LP31779-9;LP14044-9
5807-3;LP402451-1
LP402451-1;LP16859-8
LP16859-8;LP14044-9
5819-8;LP402454-5
LP402454-5;LP16861-4
LP16861-4;LP14044-9
5820-6;LP402457-8
LP402457-8;LP16862-2
LP16862-2;LP14044-9
33825-1;LP402457-8
5769-5;LP402462-8
LP402462-8;LP14082-9
LP14082-9;LP14738-6
LP14738-6;LP7851-1
5787-7;LP402464-4
LP402464-4;LP14043-1
LP14043-1;LP14738-6
30089-7;LP402474-3
LP402474-3;LP17771-4
LP17771-4;LP14043-1
50226-0;LP402478-4
LP402478-4;LP64454-9
LP64454-9;LP14304-7
5808-1;LP402477-6
LP402477-6;LP14304-7
5822-2;LP402490-9
LP402490-9;LP29134-1
LP29134-1;LP16855-6
LP16855-6;LP14738-6
25156-1;LP402499-0
LP402499-0;LP14539-8
5821-4;LP402498-2
LP402498-2;LP14419-3
761-7;LP402502-1
LP402502-1;LP14267-6
8246-1;LP402512-0
LP402512-0;LP17769-8
LP17769-8;LP7851-1
50228-6;LP402515-3
LP402515-3;LP16852-3
LP16852-3;LP15705-4
8247-9;LP402520-3
LP402520-3;LP17770-6
LP17770-6;LP7851-1
5770-3;LP402524-5
LP402524-5;LP15448-1
5792-7;LP402526-0
LP402526-0;LP14635-4
5794-3;LP402527-8
LP402527-8;LP14449-0
5797-6;LP402528-6
LP402528-6;LP15683-3
LP15683-3;LP40317-7
LP40317-7;LP7851-1
5799-2;LP402530-2
LP402530-2;LP15701-3
LP15701-3;LP40317-7
5802-4;LP402532-8
LP402532-8;LP14270-0
LP14270-0;LP40317-7
5803-2;LP402533-6
LP402533-6;LP14752-7
5804-0;LP402534-4
LP402534-4;LP15838-3
2887-8;LP402534-4
20626-8;LP402536-9
LP402536-9;LP15040-6
LP15040-6;LP40317-7
5811-5;LP402537-7
LP402537-7;LP15865-6
LP15865-6;LP40317-7
5047-6;LP403792-7
LP403792-7;LP20752-9
LP20752-9;LP16670-9
LP16670-9;LP7844-6
LP7844-6;LP29693-6
8061-4;LP403792-7
6928-6;LP403919-6
LP403919-6;LP16738-4
LP16738-4;LP7844-6
5380-1;LP404055-8
LP404055-8;LP39996-1
LP39996-1;LP14697-4
86243-3;LP404183-8
LP404183-8;LP28806-5
LP28806-5;LP14542-2
LP14542-2;LP7846-1
LP7846-1;LP29693-6
9397-1;LP404184-6
LP404184-6;LP28806-5
5778-6;LP404186-1
LP404186-1;LP28806-5
5767-9;LP404157-2
LP404157-2;LP14542-2
13362-9;LP404219-0
LP404219-0;LP14484-7
LP14484-7;LP7846-1
11029-6;LP404240-6
LP404240-6;LP14743-6
LP14743-6;LP7846-1
3128-6;LP404330-5
LP404330-5;LP15950-6
LP15950-6;LP7846-1
4548-4;LP248770-2
LP248770-2;LP29693-6
8636-3;LP407055-5
LP407055-5;LP31071-1
LP31071-1;LP7795-0
LP7795-0;LP29708-2
LP29708-2;LP7787-7
LP7787-7;ROOT
3150-0;LP420061-6
LP420061-6;LP286755-6
LP286755-6;LP7829-7
LP7829-7;LP7787-7
8641-3;LP404674-6
LP404674-6;LP73214-6
LP73214-6;LP7797-6
LP7797-6;LP7787-7
8643-9;LP404675-3
LP404675-3;LP73214-6
79899-1;LP408691-6
LP408691-6;LP200609-8
LP200609-8;LP203650-9
LP203650-9;LP7797-6
79815-7;LP408692-4
LP408692-4;LP200609-8
59842-5;LP408847-4
LP408847-4;LP100847-5
LP100847-5;LP7840-4
LP7840-4;LP7787-7
19834-1;LP404689-4
LP404689-4;LP72202-2
LP72202-2;LP72199-0
LP72199-0;LP7840-4
76528-9;LP404703-3
LP404703-3;LP73754-1
LP73754-1;LP72199-0
60825-7;LP408880-5
LP408880-5;LP101920-9
LP101920-9;LP15150-3
79562-5;LP408917-5
LP408917-5;LP199673-7
LP199673-7;LP7840-4
33452-4;LP408933-2
LP408933-2;LP76210-1
LP76210-1;LP72564-5
LP72564-5;LP7840-4
19930-7;LP408956-3
LP408956-3;LP72623-9
LP72623-9;LP7840-4
19941-4;LP408967-0
LP408967-0;LP72627-0
LP72627-0;LP72623-9
60740-8;LP409003-3
LP409003-3;LP73812-7
LP73812-7;LP7840-4
59408-5;LP409113-0
LP409113-0;LP21258-6
19991-9;LP409115-5
LP409115-5;LP28792-7
LP28792-7;LP7840-4
20057-6;LP409143-7
LP409143-7;LP73842-4
LP73842-4;LP7840-4
60949-5;LP409156-9
LP409156-9;LP76150-9
LP76150-9;LP7840-4
76259-1;LP409162-7
LP409162-7;LP188687-0
LP188687-0;LP7840-4
20077-4;LP409167-6
LP409167-6;LP73173-4
LP73173-4;LP34339-9
LP34339-9;LP7840-4
76247-6;LP409172-6
LP409172-6;LP188616-9
LP188616-9;LP34339-9
20079-0;LP409175-9
LP409175-9;LP73175-9
LP73175-9;LP7840-4
20092-3;LP409215-3
LP409215-3;LP36617-6
LP36617-6;LP7840-4
76222-9;LP404727-2
LP404727-2;LP188693-8
LP188693-8;LP7840-4
20112-9;LP404730-6
LP404730-6;LP73516-4
LP73516-4;LP188693-8
57654-6;LP404742-1
LP404742-1;LP97530-7
LP97530-7;LP188693-8
20116-0;LP404745-4
LP404745-4;LP73866-3
LP73866-3;LP188693-8
20124-4;LP409231-0
LP409231-0;LP73667-5
LP73667-5;LP7840-4
19867-1;LP409236-9
LP409236-9;LP72219-6
LP72219-6;LP7840-4
75959-7;LP404770-2
LP404770-2;LP73876-2
LP73876-2;LP7840-4
8867-4;LP415756-8
LP415756-8;LP72677-5
LP72677-5;LP7807-3
LP7807-3;LP29713-2
LP29713-2;LP30605-7
LP30605-7;LP7787-7
8884-9;LP415761-8
LP415761-8;LP72676-7
LP72676-7;LP7807-3
69000-8;LP416415-0
LP416415-0;LP72677-5
68999-2;LP416415-0
8462-4;LP415809-5
LP415809-5;LP72831-8
LP72831-8;LP7777-8
LP7777-8;LP29704-1
LP29704-1;LP30605-7
8478-0;LP415810-3
LP415810-3;LP72834-2
LP72834-2;LP7777-8
8480-6;LP415811-1
LP415811-1;LP72836-7
LP72836-7;LP7777-8
76535-4;LP415815-2
LP415815-2;LP72831-8
76536-2;LP415838-4
LP415838-4;LP72834-2
76534-7;LP415861-6
LP415861-6;LP72836-7
60985-9;LP415933-3
LP415933-3;LP101975-3
LP101975-3;LP7778-6
LP7778-6;LP29704-1
75994-4;LP415935-8
LP415935-8;LP101975-3
8385-7;LP415952-3
LP415952-3;LP72831-8
8414-5;LP415974-7
LP415974-7;LP72834-2
8440-0;LP415996-0
LP415996-0;LP72836-7
8454-1;LP416417-6
LP416417-6;LP72831-8
8455-8;LP416417-6
9279-1;LP416012-5
LP416012-5;LP72199-0
8310-5;LP416017-4
LP416017-4;LP65487-8
LP65487-8;LP7771-1
LP7771-1;LP29701-7
LP29701-7;LP30605-7
8741-1;LP416046-3
LP416046-3;LP19466-9
LP19466-9;LP7804-0
LP7804-0;LP29712-4
LP29712-4;LP30605-7
75919-1;LP416051-3
LP416051-3;LP304569-9
LP304569-9;LP7805-7
LP7805-7;LP29712-4
8837-7;LP416056-2
LP416056-2;LP286148-4
LP286148-4;LP7805-7
20564-1;LP416065-3
LP416065-3;LP21258-6
19224-5;LP416068-7
LP416068-7;LP21258-6
20562-5;LP416089-3
LP416089-3;LP73417-5
LP73417-5;LP7805-7
76297-1;LP416091-9
LP416091-9;LP304590-5
LP304590-5;LP7805-7
8302-2;LP415671-9
LP415671-9;LP64598-3
LP64598-3;LP7768-7
LP7768-7;LP29699-3
LP29699-3;LP30604-0
LP30604-0;LP7787-7
29463-7;LP415675-0
LP415675-0;LP65139-5
LP65139-5;LP7774-5
LP7774-5;LP29703-3
LP29703-3;LP30604-0
76314-4;LP421716-4
LP421716-4;LP188728-2
LP188728-2;LP201887-9
LP201887-9;LP7787-7
72305-6;LP248771-0
LP248771-0;LP7787-7
9033-2;LP248771-0
39107-8;LP248771-0
39121-9;LP248771-0
44972-8;LP248771-0
38226-7;LP248771-0
9267-6;LP248771-0
9268-4;LP248771-0
9270-0;LP248771-0
60956-0;LP248771-0
8460-8;LP248771-0
8461-6;LP248771-0
38229-1;LP248771-0
38225-9;LP248771-0
3151-8;LP248771-0
19994-3;LP248771-0
80270-2;LP248771-0
61017-0;LP248771-0
38223-4;LP248771-0
80271-0;LP248771-0
38224-2;LP248771-0
60951-1;LP248771-0
9304-7;LP248771-0
38222-6;LP248771-0
80344-5;LP248771-0
